CSD,Period,IndicatorSummaryDescription,Count
Strathcona County,2016,Pigs (number of),0
Strathcona County,2021,Pigs (number of),0
Sturgeon County,2001,Pigs (number of),0
Sturgeon County,2006,Pigs (number of),24223
Sturgeon County,2011,Pigs (number of),16979
Sturgeon County,2016,Pigs (number of),19764
Sturgeon County,2021,Pigs (number of),12583
Mackenzie County,2016,Pigs (number of),1318
Mackenzie County,2001,Pigs (number of),0
Mackenzie County,2006,Pigs (number of),1289
Mackenzie County,2011,Pigs (number of),1067
Mackenzie County,2021,Pigs (number of),0
Clear Hills,2001,Pigs (number of),0
Clear Hills,2006,Pigs (number of),4586
Clear Hills,2011,Pigs (number of),306
Clear Hills,2021,Pigs (number of),0
Clear Hills,2016,Pigs (number of),447
Greenview No. 16,2016,Pigs (number of),190
Greenview No. 16,2001,Pigs (number of),0
Greenview No. 16,2006,Pigs (number of),588
Greenview No. 16,2011,Pigs (number of),284
Greenview No. 16,2021,Pigs (number of),0
Grande Prairie County No. 1,2001,Pigs (number of),0
Grande Prairie County No. 1,2006,Pigs (number of),15104
Grande Prairie County No. 1,2016,Pigs (number of),0
Grande Prairie County No. 1,2021,Pigs (number of),0
Grande Prairie County No. 1,2011,Pigs (number of),8340
Bonnyville No. 87,2016,Pigs (number of),289
Bonnyville No. 87,2001,Pigs (number of),0
Bonnyville No. 87,2006,Pigs (number of),1162
Bonnyville No. 87,2011,Pigs (number of),113
Bonnyville No. 87,2021,Pigs (number of),0
St. Paul County No. 19,2001,Pigs (number of),0
St. Paul County No. 19,2006,Pigs (number of),9934
St. Paul County No. 19,2011,Pigs (number of),0
St. Paul County No. 19,2021,Pigs (number of),0
St. Paul County No. 19,2016,Pigs (number of),532
Smoky Lake County,2016,Pigs (number of),137
Smoky Lake County,2001,Pigs (number of),0
Smoky Lake County,2006,Pigs (number of),1432
Smoky Lake County,2011,Pigs (number of),0
Smoky Lake County,2021,Pigs (number of),0
Peace No. 135,2001,Pigs (number of),0
Peace No. 135,2006,Pigs (number of),0
Peace No. 135,2011,Pigs (number of),0
Peace No. 135,2016,Pigs (number of),0
Peace No. 135,2021,Pigs (number of),0
Crowsnest Pass,2001,Pigs (number of),0
Crowsnest Pass,2006,Pigs (number of),0
Bighorn No. 8,2001,Pigs (number of),0
Bighorn No. 8,2006,Pigs (number of),0
Bighorn No. 8,2011,Pigs (number of),0
Bighorn No. 8,2021,Pigs (number of),0
Bighorn No. 8,2016,Pigs (number of),0
Improvement District No. 12 Jasper Park,2021,Pigs (number of),0
Improvement District No. 12 Jasper Park,2011,Pigs (number of),0
Improvement District No. 12 Jasper Park,2016,Pigs (number of),0
Ranchland No. 66,2001,Pigs (number of),0
Ranchland No. 66,2006,Pigs (number of),0
Ranchland No. 66,2011,Pigs (number of),0
Ranchland No. 66,2016,Pigs (number of),0
Ranchland No. 66,2021,Pigs (number of),0
Wood Buffalo,2021,Pigs (number of),0
Wood Buffalo,2016,Pigs (number of),0
Improvement District No. 24 Wood Buffalo,2016,Pigs (number of),0
Improvement District No. 24 Wood Buffalo,2021,Pigs (number of),0
Leduc County,2011,Pigs (number of),16274
Leduc County,2001,Pigs (number of),0
Leduc County,2006,Pigs (number of),19621
Leduc County,2016,Pigs (number of),0
Leduc County,2021,Pigs (number of),0
Wetaskiwin County No. 10,2001,Pigs (number of),0
Wetaskiwin County No. 10,2006,Pigs (number of),29049
Wetaskiwin County No. 10,2011,Pigs (number of),0
Wetaskiwin County No. 10,2021,Pigs (number of),0
Wetaskiwin County No. 10,2016,Pigs (number of),1809
Northern Lights County,2016,Pigs (number of),152
Northern Lights County,2001,Pigs (number of),0
Northern Lights County,2006,Pigs (number of),307
Northern Lights County,2011,Pigs (number of),82
Northern Lights County,2021,Pigs (number of),0
Thorhild County,2001,Pigs (number of),0
Thorhild County,2006,Pigs (number of),424
Thorhild County,2011,Pigs (number of),0
Thorhild County,2021,Pigs (number of),0
Thorhild County,2016,Pigs (number of),1287
Athabasca County,2006,Pigs (number of),4587
Athabasca County,2001,Pigs (number of),0
Athabasca County,2011,Pigs (number of),0
Athabasca County,2016,Pigs (number of),0
Athabasca County,2021,Pigs (number of),0
Lesser Slave River No.124,2001,Pigs (number of),0
Lesser Slave River No.124,2006,Pigs (number of),0
Lesser Slave River No.124,2011,Pigs (number of),0
Lesser Slave River No.124,2016,Pigs (number of),0
Lesser Slave River No.124,2021,Pigs (number of),0
Lamont County,2001,Pigs (number of),0
Lamont County,2011,Pigs (number of),0
Lamont County,2016,Pigs (number of),0
Lamont County,2021,Pigs (number of),0
Lamont County,2006,Pigs (number of),2121
Two Hills County No. 21,2016,Pigs (number of),128
Two Hills County No. 21,2001,Pigs (number of),0
Two Hills County No. 21,2006,Pigs (number of),9277
Two Hills County No. 21,2011,Pigs (number of),0
Two Hills County No. 21,2021,Pigs (number of),0
Yellowhead County,2001,Pigs (number of),0
Yellowhead County,2006,Pigs (number of),2075
Yellowhead County,2011,Pigs (number of),65
Yellowhead County,2021,Pigs (number of),0
Yellowhead County,2016,Pigs (number of),558
