CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Bowden,2011,25,0,0,85,0,20,45,350,Bowden2011
Bowden,2016,0,0,40,85,0,0,35,360,Bowden2016
Bowden,2021,30,0,20,115,105,15,35,360,Bowden2021
Boyer 164,2001,0,0,0,5,0,0,0,50,Boyer 1642001
Boyer 164,2011,0,0,0,0,0,5,0,45,Boyer 1642011
Boyer 164,2016,0,0,0,5,0,5,0,50,Boyer 1642016
Boyer 164,2021,0,0,0,0,10,10,0,35,Boyer 1642021
Boyle,2001,15,0,0,60,0,25,5,220,Boyle2001
Boyle,2006,0,0,0,60,0,35,0,245,Boyle2006
Boyle,2011,25,0,0,75,0,30,10,245,Boyle2011
Boyle,2016,20,0,0,75,0,35,5,225,Boyle2016
Boyle,2021,20,0,20,75,65,25,0,220,Boyle2021
Brazeau County,2001,10,0,0,630,5,5,0,1770,Brazeau County2001
Brazeau County,2006,0,0,0,285,40,0,25,2195,Brazeau County2006
Brazeau County,2011,0,0,5,645,0,5,0,2035,Brazeau County2011
Brazeau County,2016,0,0,5,885,0,0,5,2035,Brazeau County2016
Brazeau County,2021,0,0,15,655,15,0,0,2195,Brazeau County2021
Breton,2001,15,0,5,45,0,0,0,160,Breton2001
Breton,2006,10,0,0,45,0,0,0,180,Breton2006
Breton,2011,5,0,0,50,0,0,0,160,Breton2011
Breton,2016,25,0,0,65,0,0,0,165,Breton2016
Breton,2021,20,0,0,60,20,0,0,185,Breton2021
Brooks,2001,605,0,100,85,5,435,350,2605,Brooks2001
Brooks,2006,950,0,135,195,0,510,325,2715,Brooks2006
Brooks,2011,755,0,165,350,0,545,370,2850,Brooks2011
Brooks,2016,785,0,205,380,0,510,380,2780,Brooks2016
Brooks,2021,800,0,200,415,1925,550,380,2800,Brooks2021
Bruderheim,2001,5,0,5,0,0,5,25,375,Bruderheim2001
Bruderheim,2006,35,0,0,15,0,15,30,360,Bruderheim2006
Bruderheim,2011,20,0,0,15,0,10,20,385,Bruderheim2011
Bruderheim,2016,25,0,0,20,0,10,20,425,Bruderheim2016
Bruderheim,2021,10,0,20,20,30,0,0,465,Bruderheim2021
Burnstick Lake,2021,0,0,0,0,0,0,0,0,Burnstick Lake2021
Bushe River 207,2001,0,0,0,5,0,5,0,70,Bushe River 2072001
Bushe River 207,2006,0,0,0,0,0,0,0,110,Bushe River 2072006
Bushe River 207,2011,0,0,0,5,0,5,0,125,Bushe River 2072011
Bushe River 207,2016,0,0,0,0,0,5,0,125,Bushe River 2072016
Bushe River 207,2021,0,0,0,0,10,10,0,140,Bushe River 2072021
Calgary,2001,46280,23925,11845,1510,215,30555,20290,198335,Calgary2001
Calgary,2006,60850,26070,16300,1995,120,34835,22130,222430,Calgary2006
Calgary,2011,63540,29485,16660,1930,155,37400,25495,248755,Calgary2011
