CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4812022,Smoky Lake County,2006,Cattle and Calves (number of),56476.0
4812022,Smoky Lake County,2011,Cattle and Calves (number of),41371.0
4812022,Smoky Lake County,2016,Cattle and Calves (number of),39031.0
4812022,Smoky Lake County,2021,Cattle and Calves (number of),41506.0
4819071,Peace No. 135,2021,Cattle and Calves (number of),11807.0
4819071,Peace No. 135,2001,Cattle and Calves (number of),0.0
4819071,Peace No. 135,2006,Cattle and Calves (number of),15897.0
4819071,Peace No. 135,2011,Cattle and Calves (number of),8511.0
4819071,Peace No. 135,2016,Cattle and Calves (number of),7621.0
4815007,Crowsnest Pass,2001,Cattle and Calves (number of),0.0
4815007,Crowsnest Pass,2006,Cattle and Calves (number of),176.0
4815015,Bighorn No. 8,2016,Cattle and Calves (number of),6874.0
4815015,Bighorn No. 8,2001,Cattle and Calves (number of),0.0
4815015,Bighorn No. 8,2006,Cattle and Calves (number of),4796.0
4815015,Bighorn No. 8,2011,Cattle and Calves (number of),7516.0
4815015,Bighorn No. 8,2021,Cattle and Calves (number of),0.0
4815037,Improvement District No. 12 Jasper Park,2011,Cattle and Calves (number of),0.0
4815037,Improvement District No. 12 Jasper Park,2016,Cattle and Calves (number of),0.0
4815037,Improvement District No. 12 Jasper Park,2021,Cattle and Calves (number of),0.0
4815045,Ranchland No. 66,2021,Cattle and Calves (number of),10864.0
4815045,Ranchland No. 66,2001,Cattle and Calves (number of),0.0
4815045,Ranchland No. 66,2006,Cattle and Calves (number of),19477.0
4815045,Ranchland No. 66,2011,Cattle and Calves (number of),14364.0
4815045,Ranchland No. 66,2016,Cattle and Calves (number of),17953.0
4816037,Wood Buffalo,2021,Cattle and Calves (number of),0.0
4816051,Improvement District No. 24 Wood Buffalo,2021,Cattle and Calves (number of),0.0
4811012,Leduc County,2021,Cattle and Calves (number of),60800.0
4811012,Leduc County,2001,Cattle and Calves (number of),0.0
4811012,Leduc County,2006,Cattle and Calves (number of),90850.0
4811012,Leduc County,2011,Cattle and Calves (number of),60388.0
4811012,Leduc County,2016,Cattle and Calves (number of),57879.0
4811001,Wetaskiwin County No. 10,2001,Cattle and Calves (number of),0.0
4811001,Wetaskiwin County No. 10,2006,Cattle and Calves (number of),111772.0
4811001,Wetaskiwin County No. 10,2011,Cattle and Calves (number of),75652.0
4811001,Wetaskiwin County No. 10,2016,Cattle and Calves (number of),72727.0
4811001,Wetaskiwin County No. 10,2021,Cattle and Calves (number of),67603.0
4817076,Northern Lights County,2021,Cattle and Calves (number of),25558.0
4817076,Northern Lights County,2001,Cattle and Calves (number of),0.0
4817076,Northern Lights County,2006,Cattle and Calves (number of),34737.0
4817076,Northern Lights County,2011,Cattle and Calves (number of),18662.0
4817076,Northern Lights County,2016,Cattle and Calves (number of),26552.0
4813036,Thorhild County,2001,Cattle and Calves (number of),0.0
4813036,Thorhild County,2006,Cattle and Calves (number of),37493.0
4813036,Thorhild County,2011,Cattle and Calves (number of),28723.0
4813036,Thorhild County,2016,Cattle and Calves (number of),19932.0
4813036,Thorhild County,2021,Cattle and Calves (number of),23755.0
4813044,Athabasca County,2021,Cattle and Calves (number of),48465.0
4813044,Athabasca County,2001,Cattle and Calves (number of),0.0
4813044,Athabasca County,2006,Cattle and Calves (number of),84879.0
4813044,Athabasca County,2011,Cattle and Calves (number of),49362.0
4813044,Athabasca County,2016,Cattle and Calves (number of),49410.0
4817033,Lesser Slave River No.124,2001,Cattle and Calves (number of),0.0
4817033,Lesser Slave River No.124,2006,Cattle and Calves (number of),16275.0
4817033,Lesser Slave River No.124,2011,Cattle and Calves (number of),11757.0
