CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4819041,Smoky River No. 130,2021,Cattle and Calves (number of),,11469.00000
4819041,Smoky River No. 130,2001,Cattle and Calves (number of)
4819041,Smoky River No. 130,2006,Cattle and Calves (number of),,13930.00000
4819041,Smoky River No. 130,2011,Cattle and Calves (number of),,8939.00000
4819041,Smoky River No. 130,2016,Cattle and Calves (number of),,6264.00000
4810036,Vermilion River County,2001,Cattle and Calves (number of)
4810036,Vermilion River County,2006,Cattle and Calves (number of),,177348.00000
4810036,Vermilion River County,2011,Cattle and Calves (number of),,145407.00000
4810036,Vermilion River County,2016,Cattle and Calves (number of),,131376.00000
4810036,Vermilion River County,2021,Cattle and Calves (number of),,152591.00000
4817026,Northern Sunrise County,2021,Cattle and Calves (number of),,8854.00000
4817026,Northern Sunrise County,2001,Cattle and Calves (number of)
4817026,Northern Sunrise County,2006,Cattle and Calves (number of),,10897.00000
4817026,Northern Sunrise County,2011,Cattle and Calves (number of),,8930.00000
4817026,Northern Sunrise County,2016,Cattle and Calves (number of),,5712.00000
4817027,Big Lakes County,2001,Cattle and Calves (number of)
4817027,Big Lakes County,2006,Cattle and Calves (number of),,44097.00000
4817027,Big Lakes County,2011,Cattle and Calves (number of),,31362.00000
4817027,Big Lakes County,2016,Cattle and Calves (number of),,27930.00000
4817027,Big Lakes County,2021,Cattle and Calves (number of),,29723.00000
4813001,Lac Ste. Anne County,2021,Cattle and Calves (number of),,72156.00000
4813001,Lac Ste. Anne County,2001,Cattle and Calves (number of)
4813001,Lac Ste. Anne County,2006,Cattle and Calves (number of),,95525.00000
4813001,Lac Ste. Anne County,2011,Cattle and Calves (number of),,70511.00000
4813001,Lac Ste. Anne County,2016,Cattle and Calves (number of),,64912.00000
4819049,Birch Hills County,2001,Cattle and Calves (number of)
4819049,Birch Hills County,2006,Cattle and Calves (number of),,22955.00000
4819049,Birch Hills County,2011,Cattle and Calves (number of),,20432.00000
4819049,Birch Hills County,2016,Cattle and Calves (number of),,12783.00000
4819049,Birch Hills County,2021,Cattle and Calves (number of),,11195.00000
4819054,Spirit River No. 133,2021,Cattle and Calves (number of),,6642.00000
4819054,Spirit River No. 133,2001,Cattle and Calves (number of)
4819054,Spirit River No. 133,2006,Cattle and Calves (number of),,6187.00000
4819054,Spirit River No. 133,2011,Cattle and Calves (number of),,1678.00000
4819054,Spirit River No. 133,2016,Cattle and Calves (number of),,3184.00000
4819059,Saddle Hills County,2001,Cattle and Calves (number of)
4819059,Saddle Hills County,2006,Cattle and Calves (number of),,36193.00000
4819059,Saddle Hills County,2011,Cattle and Calves (number of),,27673.00000
4819059,Saddle Hills County,2016,Cattle and Calves (number of),,26429.00000
4819059,Saddle Hills County,2021,Cattle and Calves (number of),,25414.00000
4819066,Fairview No. 136,2021,Cattle and Calves (number of),,6383.00000
4819066,Fairview No. 136,2001,Cattle and Calves (number of)
4819066,Fairview No. 136,2006,Cattle and Calves (number of),,20265.00000
4819066,Fairview No. 136,2011,Cattle and Calves (number of),,7393.00000
4819066,Fairview No. 136,2016,Cattle and Calves (number of),,7482.00000
4811032,Brazeau County,2001,Cattle and Calves (number of)
4811032,Brazeau County,2006,Cattle and Calves (number of),,39461.00000
4811032,Brazeau County,2011,Cattle and Calves (number of),,28738.00000
4811032,Brazeau County,2016,Cattle and Calves (number of),,26184.00000
4811032,Brazeau County,2021,Cattle and Calves (number of),,29669.00000
4811034,Parkland County,2021,Cattle and Calves (number of),,53564.00000
4811034,Parkland County,2001,Cattle and Calves (number of)
4811034,Parkland County,2006,Cattle and Calves (number of),,68709.00000
4811034,Parkland County,2011,Cattle and Calves (number of),,45353.00000
4811034,Parkland County,2016,Cattle and Calves (number of),,47134.00000
4811052,Strathcona County,2001,Cattle and Calves (number of)
4811052,Strathcona County,2006,Cattle and Calves (number of),,24125.00000
4811052,Strathcona County,2011,Cattle and Calves (number of),,14781.00000
4811052,Strathcona County,2016,Cattle and Calves (number of),,14845.00000
4811052,Strathcona County,2021,Cattle and Calves (number of),,18979.00000
4811059,Sturgeon County,2021,Cattle and Calves (number of),,32279.00000
4811059,Sturgeon County,2001,Cattle and Calves (number of)
4811059,Sturgeon County,2006,Cattle and Calves (number of),,47324.00000
