CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4811032,Brazeau County,2021,Pigs (number of),0.0
4811032,Brazeau County,2016,Pigs (number of),74.0
4811034,Parkland County,2016,Pigs (number of),123.0
4811034,Parkland County,2001,Pigs (number of),0.0
4811034,Parkland County,2006,Pigs (number of),1700.0
4811034,Parkland County,2011,Pigs (number of),0.0
4811034,Parkland County,2021,Pigs (number of),0.0
4811052,Strathcona County,2001,Pigs (number of),0.0
4811052,Strathcona County,2006,Pigs (number of),0.0
4811052,Strathcona County,2011,Pigs (number of),0.0
4811052,Strathcona County,2016,Pigs (number of),0.0
4811052,Strathcona County,2021,Pigs (number of),0.0
4811059,Sturgeon County,2001,Pigs (number of),0.0
4811059,Sturgeon County,2006,Pigs (number of),24223.0
4811059,Sturgeon County,2011,Pigs (number of),16979.0
4811059,Sturgeon County,2016,Pigs (number of),19764.0
4811059,Sturgeon County,2021,Pigs (number of),12583.0
4817095,Mackenzie County,2016,Pigs (number of),1318.0
4817095,Mackenzie County,2001,Pigs (number of),0.0
4817095,Mackenzie County,2006,Pigs (number of),1289.0
4817095,Mackenzie County,2011,Pigs (number of),1067.0
4817095,Mackenzie County,2021,Pigs (number of),0.0
4817062,Clear Hills,2001,Pigs (number of),0.0
4817062,Clear Hills,2006,Pigs (number of),4586.0
4817062,Clear Hills,2011,Pigs (number of),306.0
4817062,Clear Hills,2021,Pigs (number of),0.0
4817062,Clear Hills,2016,Pigs (number of),447.0
4818015,Greenview No. 16,2016,Pigs (number of),190.0
4818015,Greenview No. 16,2001,Pigs (number of),0.0
4818015,Greenview No. 16,2006,Pigs (number of),588.0
4818015,Greenview No. 16,2011,Pigs (number of),284.0
4818015,Greenview No. 16,2021,Pigs (number of),0.0
4819006,Grande Prairie County No. 1,2001,Pigs (number of),0.0
4819006,Grande Prairie County No. 1,2006,Pigs (number of),15104.0
4819006,Grande Prairie County No. 1,2016,Pigs (number of),0.0
4819006,Grande Prairie County No. 1,2021,Pigs (number of),0.0
4819006,Grande Prairie County No. 1,2011,Pigs (number of),8340.0
4812004,Bonnyville No. 87,2016,Pigs (number of),289.0
4812004,Bonnyville No. 87,2001,Pigs (number of),0.0
4812004,Bonnyville No. 87,2006,Pigs (number of),1162.0
4812004,Bonnyville No. 87,2011,Pigs (number of),113.0
4812004,Bonnyville No. 87,2021,Pigs (number of),0.0
4812014,St. Paul County No. 19,2001,Pigs (number of),0.0
4812014,St. Paul County No. 19,2006,Pigs (number of),9934.0
4812014,St. Paul County No. 19,2011,Pigs (number of),0.0
4812014,St. Paul County No. 19,2021,Pigs (number of),0.0
4812014,St. Paul County No. 19,2016,Pigs (number of),532.0
4812022,Smoky Lake County,2016,Pigs (number of),137.0
4812022,Smoky Lake County,2001,Pigs (number of),0.0
4812022,Smoky Lake County,2006,Pigs (number of),1432.0
4812022,Smoky Lake County,2011,Pigs (number of),0.0
4812022,Smoky Lake County,2021,Pigs (number of),0.0
4819071,Peace No. 135,2001,Pigs (number of),0.0
4819071,Peace No. 135,2006,Pigs (number of),0.0
4819071,Peace No. 135,2011,Pigs (number of),0.0
4819071,Peace No. 135,2016,Pigs (number of),0.0
4819071,Peace No. 135,2021,Pigs (number of),0.0
4815007,Crowsnest Pass,2001,Pigs (number of),0.0
4815007,Crowsnest Pass,2006,Pigs (number of),0.0
4815015,Bighorn No. 8,2001,Pigs (number of),0.0
4815015,Bighorn No. 8,2006,Pigs (number of),0.0
4815015,Bighorn No. 8,2011,Pigs (number of),0.0
4815015,Bighorn No. 8,2021,Pigs (number of),0.0
4815015,Bighorn No. 8,2016,Pigs (number of),0.0
4815037,Improvement District No. 12 Jasper Park,2021,Pigs (number of),0.0
4815037,Improvement District No. 12 Jasper Park,2011,Pigs (number of),0.0
