,Unnamed: 0,fire_year,fire_number,fire_name,current_size,size_class,fire_location_latitude,fire_location_longitude,fire_start_date,wind_direction,wind_speed,Municipality
499,19277,2018,MWF055,,56.4,D,57.295223,-110.60746,43274.66667,SE,7,Wood Buffalo
500,19279,2018,MWF057,,10,C,59.0723,-110.976633,43274.67361,NE,30,Wood Buffalo
501,19289,2018,HWF162,,331.4,E,58.0136,-114.221217,43277.375,W,4,Mackenzie County
502,19292,2017,HWF236,,44.8,D,57.9786,-114.886683,42956.66667,S,10,Mackenzie County
503,19313,2018,HWF050,,409.9,E,58.738517,-117.254667,43232.59028,NW,25,Mackenzie County
504,19315,2018,HWF054,,56,D,58.514983,-116.359017,43232.64444,W,90,Mackenzie County
505,19322,2018,SWF162,,12.5,C,56.16425,-113.402267,43391.72917,SE,20,Municipal District of Opportunity
506,19370,2018,PWF047,Lovet Creek,3992,E,57.035417,-118.153217,43244.62569,SW,35,County of Northern Lights
507,19372,2018,HWF173,,110,D,58.404083,-118.42305,43307.6875,E,5,Mackenzie County
508,19382,2017,CWF254,,99.5,D,49.631967,-114.56955,43025.625,W,50,
509,19386,2018,HWF077,,56,D,58.51498,-116.35901,43232.64444,W,15,Mackenzie County
510,19403,2017,HWF252,,1852,E,59.060983,-115.181917,42961.42083,S,10,Mackenzie County
511,19423,2017,HWF291,,1516.2,E,58.733633,-119.027517,43002.45833,SE,15,Mackenzie County
512,19450,2017,EWF072,,28.58,C,53.940383,-119.4693,42971.66667,W,17,Municipal District of Greenview
513,19458,2018,HWF029,,236.3,E,58.847633,-118.738033,43226.63264,W,16,Mackenzie County
514,19465,2018,SWF142,,15.3,C,56.242052,-114.838618,43315.64931,W,24,Municipal District of Opportunity
515,19466,2018,PWF097,,12.7,C,58.056583,-117.113133,43317.73958,N,15,County of Northern Lights
516,19476,2017,HWF247,,24.8,C,59.368467,-118.072317,42958.76597,SW,13,Mackenzie County
517,19496,2018,SWF147,,112.8,D,56.217333,-114.355833,43317.58333,N,13,Municipal District of Opportunity
518,19499,2017,MWF071,,487.2,E,57.8265,-111.647833,42950.58333,S,11,Wood Buffalo
519,19528,2017,HWF244, ,41.1,D,58.104983,-115.011017,42958.54167,S,10,Mackenzie County
520,19536,2018,HWF165,,2083.4,E,59.925967,-119.940917,43287.73681,SW,18,Mackenzie County
521,19538,2018,PWF088,,25.6,C,56.99234,-118.207545,43308.58333,SW,15,Clear Hills County
