CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4807011,Paintearth County No. 18,2021,Cropland (Acres),Durum Wheat,0.0
4810001,Camrose County,2006,Cropland (Acres),Durum Wheat,1128.0
4810001,Camrose County,2011,Cropland (Acres),Durum Wheat,4655.0
4810001,Camrose County,2016,Cropland (Acres),Durum Wheat,0.0
4810001,Camrose County,2021,Cropland (Acres),Durum Wheat,7399.0
4811061,Edmonton,2006,Cropland (Acres),Durum Wheat,0.0
4811061,Edmonton,2011,Cropland (Acres),Durum Wheat,0.0
4811061,Edmonton,2016,Cropland (Acres),Durum Wheat,0.0
4811061,Edmonton,2021,Cropland (Acres),Durum Wheat,0.0
4803001,Cardston County,2006,Cropland (Acres),Durum Wheat,8898.0
4803001,Cardston County,2011,Cropland (Acres),Durum Wheat,7809.0
4803001,Cardston County,2016,Cropland (Acres),Durum Wheat,23787.0
4803001,Cardston County,2021,Cropland (Acres),Durum Wheat,11654.0
4802031,Newell County,2006,Cropland (Acres),Durum Wheat,2365.0
4802031,Newell County,2011,Cropland (Acres),Durum Wheat,2519.0
4802031,Newell County,2016,Cropland (Acres),Durum Wheat,17640.0
4802031,Newell County,2021,Cropland (Acres),Durum Wheat,20666.0
4808038,Ponoka County,2006,Cropland (Acres),Durum Wheat,0.0
4808038,Ponoka County,2011,Cropland (Acres),Durum Wheat,1105.0
4808038,Ponoka County,2016,Cropland (Acres),Durum Wheat,6894.0
4808038,Ponoka County,2021,Cropland (Acres),Durum Wheat,0.0
4812037,Lac la Biche County,2006,Cropland (Acres),Durum Wheat,0.0
4812037,Lac la Biche County,2011,Cropland (Acres),Durum Wheat,0.0
4812037,Lac la Biche County,2016,Cropland (Acres),Durum Wheat,0.0
4812037,Lac la Biche County,2021,Cropland (Acres),Durum Wheat,0.0
4809002,Clearwater County,2006,Cropland (Acres),Durum Wheat,0.0
4809002,Clearwater County,2011,Cropland (Acres),Durum Wheat,0.0
4809002,Clearwater County,2016,Cropland (Acres),Durum Wheat,0.0
4809002,Clearwater County,2021,Cropland (Acres),Durum Wheat,0.0
4810026,Minburn County No. 27,2006,Cropland (Acres),Durum Wheat,0.0
4810026,Minburn County No. 27,2011,Cropland (Acres),Durum Wheat,0.0
4810026,Minburn County No. 27,2016,Cropland (Acres),Durum Wheat,0.0
4810026,Minburn County No. 27,2021,Cropland (Acres),Durum Wheat,0.0
4813028,Westlock County,2006,Cropland (Acres),Durum Wheat,0.0
4813028,Westlock County,2011,Cropland (Acres),Durum Wheat,0.0
4813028,Westlock County,2016,Cropland (Acres),Durum Wheat,2913.0
4813028,Westlock County,2021,Cropland (Acres),Durum Wheat,3859.0
4813029,Woodlands County,2006,Cropland (Acres),Durum Wheat,0.0
4813029,Woodlands County,2011,Cropland (Acres),Durum Wheat,0.0
4813029,Woodlands County,2016,Cropland (Acres),Durum Wheat,0.0
4813029,Woodlands County,2021,Cropland (Acres),Durum Wheat,0.0
4813018,Barrhead County No. 11,2006,Cropland (Acres),Durum Wheat,0.0
4813018,Barrhead County No. 11,2011,Cropland (Acres),Durum Wheat,491.0
4813018,Barrhead County No. 11,2016,Cropland (Acres),Durum Wheat,1007.0
4813018,Barrhead County No. 11,2021,Cropland (Acres),Durum Wheat,0.0
4810016,Beaver County,2006,Cropland (Acres),Durum Wheat,0.0
4810016,Beaver County,2011,Cropland (Acres),Durum Wheat,0.0
4810016,Beaver County,2016,Cropland (Acres),Durum Wheat,2227.0
4810016,Beaver County,2021,Cropland (Acres),Durum Wheat,0.0
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Durum Wheat,114052.0
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Durum Wheat,118983.0
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Durum Wheat,237277.0
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Durum Wheat,225065.0
4801003,Cypress County,2006,Cropland (Acres),Durum Wheat,38536.0
4801003,Cypress County,2011,Cropland (Acres),Durum Wheat,29400.0
4801003,Cypress County,2016,Cropland (Acres),Durum Wheat,68672.0
4801003,Cypress County,2021,Cropland (Acres),Durum Wheat,77476.0
4803018,Willow Creek No. 26,2006,Cropland (Acres),Durum Wheat,21233.0
4803018,Willow Creek No. 26,2011,Cropland (Acres),Durum Wheat,0.0
4803018,Willow Creek No. 26,2016,Cropland (Acres),Durum Wheat,30403.0
4803018,Willow Creek No. 26,2021,Cropland (Acres),Durum Wheat,40064.0
4802011,Lethbridge County,2006,Cropland (Acres),Durum Wheat,37379.0
4802011,Lethbridge County,2011,Cropland (Acres),Durum Wheat,24539.0
4802011,Lethbridge County,2016,Cropland (Acres),Durum Wheat,61816.0
4802011,Lethbridge County,2021,Cropland (Acres),Durum Wheat,68058.0
4802021,"Taber, M.D.",2006,Cropland (Acres),Durum Wheat,51009.0
4802021,"Taber, M.D.",2011,Cropland (Acres),Durum Wheat,52433.0
4802021,"Taber, M.D.",2016,Cropland (Acres),Durum Wheat,85866.0
4802021,"Taber, M.D.",2021,Cropland (Acres),Durum Wheat,66211.0
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Durum Wheat,0.0
