Municipality,Year,Concat,Sum_firesize,Count_fires
Municipal District of Smoky River,2015,Clearwater County 2015,27031.45,0
Northern Sunrise County,2014,County of Wetaskiwin 2014,32540.29,0
Ponoka County,2015,County of Wetaskiwin 2015,32540.29,0
Saddle Hills County,2013,Municipal District of Ranchland No. 66 2013,43940.8,1
Wood Buffalo,2013,Municipal District of Smoky River 2013,43940.8,1
Woodlands County,2012,Municipal District of Smoky River 2012,43940.8,4
Yellowhead County,2012,Northern Sunrise County 2012,43940.8,4
Athabasca County,2016,Municipal District of Pincher Creek No. 9 2016,43940.8,4
Big Lakes County,2016,Municipal District of Ranchland No. 66 2016,43940.8,4
Brazeau County,2012,Municipal District of Pincher Creek No. 9 2012,43940.8,5
Census Division No. 9,2013,Municipal District of Pincher Creek No. 9 2013,43940.8,5
Clear Hills County,2014,Municipal District of Pincher Creek No. 9 2014,43940.8,5
Clearwater County,2014,Municipal District of Ranchland No. 66 2014,43940.8,5
County of Grande Prairie,2014,Municipal District of Smoky River 2014,43940.8,5
County of Northern Lights,2014,Northern Sunrise County 2014,43940.8,5
County of Wetaskiwin,2016,Municipal District of Smoky River 2016,43940.8,5
Kananaskis Improvement District,2016,Northern Sunrise County 2016,43940.8,5
Lac La Biche County,2013,Northern Sunrise County 2013,43940.8,8
Mackenzie County,2012,Municipal District of Ranchland No. 66 2012,43940.8,11
Mountain View County,2012,Ponoka County 2012,51574.4,3
Municipal District of Bighorn,2013,Ponoka County 2013,51574.4,3
Municipal District of Bonnyville,2013,Saddle Hills County 2013,51574.4,3
Municipal District of Greenview,2015,Saddle Hills County 2015,51574.4,3
Municipal District of Lesser Slave River,2014,Saddle Hills County 2014,51574.4,9
Municipal District of Opportunity,2015,Ponoka County 2015,51574.4,9
Municipal District of Pincher Creek No. 9,2016,Ponoka County 2016,51574.4,9
Municipal District of Ranchland No. 66,2016,Saddle Hills County 2016,51574.4,9
Municipal District of Smoky River,2017,Ponoka County 2017,51574.4,9
Northern Sunrise County,2017,Saddle Hills County 2017,51574.4,9
Ponoka County,2017,County of Wetaskiwin 2017,55427.33,7
Saddle Hills County,2017,Municipal District of Smoky River 2017,60193.44,5
Wood Buffalo,2017,Northern Sunrise County 2017,60193.44,5
Woodlands County,2017,Clear Hills County 2017,87618,3
Yellowhead County,2015,Clear Hills County 2015,87618,0
Athabasca County,2012,Municipal District of Lesser Slave River 2012,149898.15,11
Big Lakes County,2014,Municipal District of Lesser Slave River 2014,149898.15,11
Brazeau County,2015,Municipal District of Lesser Slave River 2015,149898.15,11
Census Division No. 9,2017,Municipal District of Lesser Slave River 2017,149898.15,11
Clear Hills County,2012,Municipal District of Opportunity 2012,224308.9,3
Clearwater County,2012,Woodlands County 2012,371716.1,24
County of Grande Prairie,2013,Woodlands County 2013,371716.1,24
County of Northern Lights,2014,Woodlands County 2014,371716.1,24
County of Wetaskiwin,2016,Woodlands County 2016,371716.1,24
Kananaskis Improvement District,2017,Woodlands County 2017,371716.1,24
Lac La Biche County,2015,Woodlands County 2015,371716.1,41
Mackenzie County,2012,Mountain View County 2012,577721.79,23
Mountain View County,2012,Municipal District of Bighorn 2012,577721.79,23
Municipal District of Bighorn,2014,Municipal District of Bighorn 2014,577721.79,33
Municipal District of Bonnyville,2014,Municipal District of Bonnyville 2014,577721.79,33
Municipal District of Greenview,2015,Mountain View County 2015,577721.79,33
Municipal District of Lesser Slave River,2015,Municipal District of Bighorn 2015,577721.79,33
Municipal District of Opportunity,2015,Municipal District of Bonnyville 2015,577721.79,33
Municipal District of Pincher Creek No. 9,2017,Mountain View County 2017,577721.79,33
Municipal District of Ranchland No. 66,2017,Municipal District of Bighorn 2017,577721.79,33
Municipal District of Smoky River,2017,Municipal District of Bonnyville 2017,577721.79,33
